City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Lagoa,PT,2021-03-28 16:08:42,39.05,-27.9833,59.16,82,100,20.38
141,Batemans Bay,AU,2021-03-28 16:08:43,-35.7167,150.1833,57.99,92,86,3.0
142,Jamestown,US,2021-03-28 16:08:06,42.097,-79.2353,52.0,93,90,4.09
143,Longyearbyen,SJ,2021-03-28 16:08:43,78.2186,15.6401,32.0,80,40,11.5
144,Ambanja,MG,2021-03-28 16:08:43,-13.6833,48.45,82.4,89,40,1.32
145,Diffa,NE,2021-03-28 16:08:43,13.3154,12.6113,89.01,11,0,18.37
146,Gat,IL,2021-03-28 16:08:44,31.61,34.7642,62.01,56,18,10.98
147,Liverpool,GB,2021-03-28 16:08:44,53.4106,-2.9779,60.8,72,90,20.71
148,Palmer,US,2021-03-28 16:08:44,42.1584,-72.3287,50.0,87,90,3.44
149,Kristiansund,NO,2021-03-28 16:08:44,63.1115,7.732,46.4,61,75,10.36
150,Esmeralda,CU,2021-03-28 16:08:23,21.8525,-78.1169,87.8,45,40,12.66
151,Severo-Kurilsk,RU,2021-03-28 16:08:45,50.6789,156.125,25.05,77,53,13.69
152,Laguna,US,2021-03-28 16:08:45,38.421,-121.4238,60.01,58,1,1.5
153,Kavieng,PG,2021-03-28 16:08:45,-2.5744,150.7967,82.85,75,79,14.5
154,Loa Janan,ID,2021-03-28 16:08:45,-0.583,117.095,74.26,97,92,0.34
155,Cherskiy,RU,2021-03-28 16:08:46,68.75,161.3,-9.06,91,100,1.68
156,Vostok,RU,2021-03-28 16:08:46,46.4856,135.8833,32.16,92,100,6.38
157,Kruisfontein,ZA,2021-03-28 16:08:46,-34.0033,24.7314,64.99,69,100,5.01
158,Yamada,JP,2021-03-28 16:08:46,39.4667,141.95,53.69,97,100,16.93
159,Tazovskiy,RU,2021-03-28 16:08:47,67.4667,78.7,-6.92,99,61,8.1
160,Hurghada,EG,2021-03-28 16:05:07,27.2574,33.8129,73.4,31,0,19.57
161,Pemangkat,ID,2021-03-28 16:08:47,1.1667,108.9667,78.82,83,80,5.32
162,Somerset East,ZA,2021-03-28 16:08:47,-32.7217,25.588,60.66,71,72,17.09
163,Esperance,AU,2021-03-28 16:08:48,-33.8667,121.9,68.0,83,0,8.05
164,Paamiut,GL,2021-03-28 16:06:30,61.994,-49.6678,16.18,63,0,23.67
165,Belle Fourche,US,2021-03-28 16:08:48,44.6714,-103.8522,55.0,30,1,16.11
166,Arraial Do Cabo,BR,2021-03-28 16:08:49,-22.9661,-42.0278,89.6,74,20,12.66
167,Kamsack,CA,2021-03-28 16:08:49,51.5667,-101.9009,30.2,80,90,21.85
168,Mahebourg,MU,2021-03-28 16:08:50,-20.4081,57.7,80.6,83,40,0.94
169,Russell,US,2021-03-28 16:08:50,32.3502,-85.1999,78.01,69,90,8.05
170,Tautira,PF,2021-03-28 16:08:51,-17.7333,-149.15,77.0,78,20,4.61
171,Saldanha,ZA,2021-03-28 16:08:51,-33.0117,17.9442,77.0,36,100,14.97
172,Chernyshevsk,RU,2021-03-28 16:08:51,52.5243,117.0174,15.06,93,33,5.37
173,Timmins,CA,2021-03-28 16:08:51,48.4669,-81.3331,28.4,93,90,6.91
174,Galle,LK,2021-03-28 16:08:51,6.0367,80.217,76.44,81,98,7.27
175,Bethel,US,2021-03-28 16:06:02,41.3712,-73.414,50.0,96,100,3.0
176,Lembeni,TZ,2021-03-28 16:08:52,-3.7833,37.6167,76.32,55,81,5.26
177,Saint-Philippe,RE,2021-03-28 16:08:52,-21.3585,55.7679,80.6,78,40,6.91
178,Khasan,RU,2021-03-28 16:08:52,42.4308,130.6434,41.16,91,73,6.55
179,Tuktoyaktuk,CA,2021-03-28 16:08:52,69.4541,-133.0374,-25.6,75,40,10.36
180,Panguna,PG,2021-03-28 16:08:53,-6.3164,155.4848,67.59,96,39,2.51
181,Manzanillo,CU,2021-03-28 16:08:53,20.3433,-77.1167,88.77,38,0,3.53
182,Sullana,PE,2021-03-28 16:08:53,-4.9039,-80.6853,83.97,47,69,2.68
183,Bulz,RO,2021-03-28 16:08:53,46.9167,22.6833,54.0,37,0,3.44
184,Sawtell,AU,2021-03-28 16:08:54,-30.3833,153.1,64.4,94,75,4.61
185,Chiang Rai,TH,2021-03-28 16:08:54,19.9167,99.9167,79.0,69,20,2.3
186,Leh,IN,2021-03-28 16:08:54,34.1667,77.5833,43.25,42,99,7.54
187,Bedele,ET,2021-03-28 16:08:55,8.456,36.353,62.37,63,100,4.36
188,Linxia,CN,2021-03-28 16:08:55,35.6003,103.2064,48.96,33,83,8.34
189,Abaza,RU,2021-03-28 16:08:55,52.655,90.0928,34.97,98,100,2.73
190,Broome,US,2021-03-28 16:08:55,42.2506,-75.833,53.01,93,90,13.8
191,Puerto Escondido,MX,2021-03-28 16:07:43,15.85,-97.0667,86.0,79,1,3.44
192,Umm Kaddadah,SD,2021-03-28 16:08:56,13.6017,26.6876,80.91,9,0,19.01
193,Hithadhoo,MV,2021-03-28 16:07:57,-0.6,73.0833,82.38,76,100,18.23
194,Westlock,CA,2021-03-28 16:08:56,54.1502,-113.8688,32.0,93,100,4.61
195,Iraan,US,2021-03-28 16:08:56,30.914,-101.8979,64.0,17,0,10.0
196,Iranduba,BR,2021-03-28 16:08:57,-3.2847,-60.1861,87.8,66,40,8.05
197,Narsaq,GL,2021-03-28 16:05:06,60.9167,-46.05,24.8,54,0,4.61
198,Jalgaon,IN,2021-03-28 16:08:57,21.0167,75.5667,93.42,11,6,3.47
199,Atambua,ID,2021-03-28 16:08:58,-9.1061,124.8925,73.78,87,100,4.41
200,Mogadishu,SO,2021-03-28 16:08:58,2.0371,45.3438,80.89,83,91,14.0
201,Cidreira,BR,2021-03-28 16:08:58,-30.1811,-50.2056,74.39,81,96,9.42
202,Norman Wells,CA,2021-03-28 16:08:58,65.282,-126.8329,-4.0,71,75,18.41
203,Nguruka,TZ,2021-03-28 16:08:58,-5.1092,31.0419,74.3,65,84,0.69
204,Batangafo,CF,2021-03-28 16:08:59,7.3008,18.2833,91.67,30,93,0.56
205,Richards Bay,ZA,2021-03-28 16:05:32,-28.783,32.0377,70.38,70,96,10.63
206,Horsham,GB,2021-03-28 16:08:59,51.064,-0.3272,52.0,76,75,12.66
