City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
297,Banda Aceh,ID,79.39,overcast clouds,5.5577,95.3222,
300,Birao,CF,78.53,clear sky,10.2849,22.7882,
301,Arang,IN,75.97,clear sky,21.2,81.9667,
302,Lake Charles,US,60.8,moderate rain,30.2131,-93.2044,
305,Kruisfontein,ZA,62.01,overcast clouds,-34.0033,24.7314,
308,Lakes Entrance,AU,61.0,broken clouds,-37.8811,147.981,
313,Nouakchott,MR,69.8,clear sky,18.0858,-15.9785,
316,Iquitos,PE,77.0,light rain,-3.7481,-73.2472,
318,Baoro,CF,74.48,broken clouds,5.6667,15.9667,
324,Jerantut,MY,74.25,scattered clouds,3.9360000000000004,102.3626,
325,Gopalur,IN,78.55,clear sky,16.6167,77.8,
326,Tondano,ID,78.8,scattered clouds,1.3038,124.9112,
329,Port Lincoln,AU,66.16,clear sky,-34.7333,135.8667,
330,Teguise,ES,64.4,few clouds,29.0605,-13.564,
334,Chicama,PE,73.99,broken clouds,-7.8447,-79.1469,
337,Hualmay,PE,69.85,broken clouds,-11.0964,-77.6139,
338,West Wendover,US,69.8,clear sky,40.7391,-114.0733,
340,Gunjur,GM,69.8,clear sky,13.2019,-16.7339,
346,Kaeo,NZ,72.0,broken clouds,-35.1,173.7833,
349,Amalapuram,IN,74.5,few clouds,16.5833,82.0167,
350,Majene,ID,79.97,overcast clouds,-3.5403,118.9707,
351,Gao,ML,71.58,clear sky,16.6362,1.6369999999999998,
353,Camocim,BR,76.59,few clouds,-2.9022,-40.8411,
354,Porto Walter,BR,73.63,moderate rain,-8.2686,-72.7439,
355,Sibu,MY,75.2,scattered clouds,2.3,111.8167,
356,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,
361,Maputo,MZ,70.0,broken clouds,-25.9653,32.5892,
362,Grand-Santi,GF,72.7,heavy intensity rain,4.25,-54.3833,
367,Guerrero Negro,MX,78.17,scattered clouds,27.9769,-114.0611,
369,Luanda,AO,78.57,overcast clouds,-8.8368,13.2343,
371,La Plata,AR,66.99,few clouds,-34.9215,-57.9545,
372,Morondava,MG,74.66,clear sky,-20.2833,44.2833,
374,Hays,US,70.0,scattered clouds,30.0502,-98.0336,
376,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,
377,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,
379,Airai,TL,61.12,heavy intensity rain,-8.9266,125.4092,
380,Satipo,PE,70.59,overcast clouds,-11.2522,-74.6386,
384,Kloulklubed,PW,77.0,heavy intensity rain,7.0419,134.2556,
389,Bahile,PH,77.0,broken clouds,9.9995,118.7878,
392,Sao Jose Da Coroa Grande,BR,78.78,overcast clouds,-8.8978,-35.1478,
394,Bara,NG,78.8,clear sky,10.3744,10.7288,
395,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,
396,Badarganj,BD,73.02,clear sky,25.674,89.0549,
399,Huarmey,PE,71.02,overcast clouds,-10.0681,-78.1522,
410,Tabou,CI,78.19,light rain,4.423,-7.3528,
411,Sao Joao Da Barra,BR,77.86,scattered clouds,-21.6403,-41.0511,
419,Mosquera,CO,60.8,few clouds,4.7059,-74.2302,
420,Mahanoro,MG,74.32,broken clouds,-19.9,48.8,
422,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,
426,Odienne,CI,75.33,overcast clouds,9.51,-7.5692,
430,Montrose,US,61.0,clear sky,38.4166,-108.2673,
434,Nizwa,OM,78.37,few clouds,22.9333,57.5333,
435,Shingu,JP,60.8,scattered clouds,33.7333,135.9833,
436,Taylor,US,71.6,clear sky,32.3001,-99.8337,
438,Miri,MY,77.0,scattered clouds,4.4148,114.0089,
440,Broken Hill,AU,64.4,clear sky,-31.95,141.4333,
441,Pyay,MM,77.25,broken clouds,18.8167,95.2167,
442,Camacupa,AO,61.02,light rain,-12.0167,17.4833,
448,Acarau,BR,77.43,clear sky,-2.8856,-40.12,
449,Impfondo,CG,75.09,few clouds,1.6381,18.0667,
452,Camacha,PT,62.6,broken clouds,33.0833,-16.3333,
454,Ukiah,US,78.8,clear sky,39.1502,-123.2078,
456,Odweyne,SO,70.14,few clouds,9.4092,45.06399999999999,
457,Jaffna,LK,78.28,few clouds,9.6685,80.0074,
